"Name","Campus Protests"
"Title","University Campus Protests"
"Date","June 25, 2024 at 3:45 PM (GMT)"
"Duration","3:15:00"
"Participant Count","351"
"Participant Limit","350"
"Exercise Type","Binary"
"",""
"Question ID","Participant ID","Thought ID","Vote","Timestamp"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7289c7bc-48fb-47e7-86d5-a0b3b70db18c","bb603248-4fe8-4a69-b092-aab57cf3ea16","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7289c7bc-48fb-47e7-86d5-a0b3b70db18c","148b4943-dd67-4193-82ef-4bd138e19559","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","71898c0a-7774-4a8d-9599-a431de36c014","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","bca921f4-077e-412f-a159-d28742b8e103","4f4b785c-02ba-41c8-853f-6d6ab30e9836","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c28c506-c101-4a43-abbf-16ba2323c79c","09867793-48c3-4ada-867f-6b0af5b9fe16","Disagree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","71898c0a-7774-4a8d-9599-a431de36c014","0a384272-02e2-43c2-8997-d683ddaf77fa","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7289c7bc-48fb-47e7-86d5-a0b3b70db18c","5a62f615-9cd1-443f-b3d7-ef18d955357e","Disagree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c28c506-c101-4a43-abbf-16ba2323c79c","4269274d-7f7a-4684-a70c-05c27af713ae","Agree","June 25, 2024 at 3:49 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","34346259-711b-40e5-a7eb-c1cf73bd22c0","8914a006-24bd-4aac-ae03-1a470ac10176","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","71898c0a-7774-4a8d-9599-a431de36c014","5a0ca1d6-2989-4253-9e67-eee3640227b0","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","34346259-711b-40e5-a7eb-c1cf73bd22c0","bb603248-4fe8-4a69-b092-aab57cf3ea16","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d7035714-126e-4ce8-9e61-04332888b972","a2cb74b9-6321-497f-8d20-4f3321b13959","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","019e643f-cc3f-4bcc-9280-6966d5389d92","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","33d574d4-9f28-46e8-b9d3-f797f35ebb2f","498269ee-45e5-4ad8-8b0b-f8f85f0bf417","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d7035714-126e-4ce8-9e61-04332888b972","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7289c7bc-48fb-47e7-86d5-a0b3b70db18c","09867793-48c3-4ada-867f-6b0af5b9fe16","Agree","June 25, 2024 at 3:50 PM (GMT)"
